CUTLL1_T_Lymphocyte_Blood | MED1 | ID:43110
CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:392
CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:393
CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:43101
CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:43104
CUTLL1_T_Lymphocyte_Blood | RBPJ | ID:394
CUTLL1_T_Lymphocyte_Blood | RBPJ | ID:395
CUTLL1_T_Lymphocyte_Blood | RBPJ | ID:43102
CUTLL1_T_Lymphocyte_Blood | RBPJ | ID:43105
CUTLL1_T_Lymphocyte_Blood | RUNX1 | ID:43099
CUTLL1_T_Lymphocyte_Blood | ZNF143 | ID:396
Dendritic_Cell | ATAC-seq | ID:59683
Dendritic_Cell | ATAC-seq | ID:59684
Dendritic_Cell | ATAC-seq | ID:65303
Dendritic_Cell | ATAC-seq | ID:65305
Dendritic_Cell_Blood | H3K27me3 | ID:74851
Dendritic_Cell_Blood | H3K27me3 | ID:74854
Dendritic_Cell_Blood | H3K27me3 | ID:74858
Dendritic_Cell_Blood | H3K27me3 | ID:74860
Dendritic_Cell_Blood | H3K27me3 | ID:74864
Dendritic_Cell_Blood | H3K27me3 | ID:74866
Dendritic_Cell_Cord_blood | H3K27me3 | ID:74856
Dendritic_Cell_Cord_blood | H3K27me3 | ID:74862
Dendritic_Cell_Cord_blood | H3K27me3 | ID:74868
Dendritic_Cell | DNase | ID:63412
Dendritic_Cell | DNase | ID:63413
Dendritic_Cell | H3K27ac | ID:53564
Dendritic_Cell | H3K27ac | ID:53571
Dendritic_Cell | H3K27ac | ID:53578
Dendritic_Cell | H3K27ac | ID:53585
Dendritic_Cell | H3K27me3 | ID:53572
Dendritic_Cell | H3K36me3 | ID:53566
Dendritic_Cell | H3K4me1 | ID:53567
Dendritic_Cell | H3K4me1 | ID:53574
Dendritic_Cell | H3K4me1 | ID:53581
Dendritic_Cell | H3K4me1 | ID:53588
Dendritic_Cell | H3K4me3 | ID:53568
Dendritic_Cell | H3K4me3 | ID:53575
Dendritic_Cell | H3K4me3 | ID:53582
Dendritic_Cell | H3K4me3 | ID:53589
Dendritic_Cell | H3K9me3 | ID:53576
DND-41_T_Lymphocyte_Blood | BRD4 | ID:43756
DND-41_T_Lymphocyte_Blood | BRD4 | ID:43763
DND-41_T_Lymphocyte_Blood | CTCF | ID:45189
DND-41_T_Lymphocyte_Blood | EZH2 | ID:45192
DND-41_T_Lymphocyte_Blood | H2AZ | ID:45196
DND-41_T_Lymphocyte_Blood | H3K27ac | ID:43757
DND-41_T_Lymphocyte_Blood | H3K27ac | ID:43764
DND-41_T_Lymphocyte_Blood | H3K27ac | ID:45191
DND-41_T_Lymphocyte_Blood | H3K27me3 | ID:45193
DND-41_T_Lymphocyte_Blood | H3K36me3 | ID:43759
DND-41_T_Lymphocyte_Blood | H3K36me3 | ID:43766
DND-41_T_Lymphocyte_Blood | H3K36me3 | ID:45188
DND-41_T_Lymphocyte_Blood | H3K4me1 | ID:43760
DND-41_T_Lymphocyte_Blood | H3K4me1 | ID:43767
DND-41_T_Lymphocyte_Blood | H3K4me1 | ID:45187
DND-41_T_Lymphocyte_Blood | H3K4me2 | ID:45190
DND-41_T_Lymphocyte_Blood | H3K4me3 | ID:43761
DND-41_T_Lymphocyte_Blood | H3K4me3 | ID:43768
DND-41_T_Lymphocyte_Blood | H3K4me3 | ID:45198
DND-41_T_Lymphocyte_Blood | H3K79me2 | ID:45194
DND-41_T_Lymphocyte_Blood | H3K9ac | ID:45197
DND-41_T_Lymphocyte_Blood | H3K9me3 | ID:45186
