SEM_Pre-B_Lymphocyte | MLLT1 | ID:59168
LOUCY_T_Lymphocyte_Blood | H3K27ac | ID:62211
T_Lymphocyte | ATAC-seq | ID:65998
DND-41_T_Lymphocyte_Blood | H3K4me3 | ID:45198
B_Lymphocyte_Blood | CDK9 | ID:40227
T_Lymphocyte_Blood | H3K4me3 | ID:3836
iPS-15b_Cell_Line | H3K9ac | Roadmap
Treg_cell | ATAC-seq | ID:79960
T_Lymphocyte_Blood | H3K27me3 | ID:36413
MM1.S_B_Lymphocyte_Blood | CCND2 | ID:76686
GM12878_B_Lymphocyte_Blood | NFE2 | ID:45608
GM12878_B_Lymphocyte_Blood | SRF | ID:46148
T_Lymphocyte_Blood | H3K4me3 | ID:58761
T_Lymphocyte_Blood | H3K4me2 | ID:47981
B_Lymphocyte_Blood | H2AZ | ID:49998
T_Lymphocyte_Blood | H3K4me2 | ID:47924
T_Lymphocyte_Blood | INO80 | ID:44130
T_Lymphocyte_Blood | H3K4me2 | ID:47931
T_Lymphocyte | H3K4me3 | ID:69002
T_Lymphocyte_Blood | H3K4me2 | ID:47971
MM1.S_B_Lymphocyte_Blood | CDK9 | ID:33123
SEM_B_cell_precursor | IRAK4 | ID:76858
GM12878_B_Lymphocyte_Blood | CEBPA | ID:48263
Raji_B_Lymphocyte_Blood | POLR2A | ID:58946
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPI1 | ID:48637
T_Lymphocyte_Blood | H3K4me2 | ID:47955
GM12878_B_Lymphocyte_Blood | SIX5 | ID:46142
OCI-Ly7_B_cell_lymphoma_Blood | H3K79me2 | ID:63353
T_Lymphocyte_Blood | H3K4me2 | ID:47994
T_Lymphocyte | H3K4me2 | ID:69056
T_Lymphocyte | ATAC-seq | ID:65955
B_Lymphocyte | ATAC-seq | ID:79852
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5004
Monocyte_Blood | H3K4me3 | ID:3897
Ramos_B_Lymphocyte | NIPBL | ID:50516
T_Lymphocyte_Blood | H3K27ac | ID:36459
Raji_B_Lymphocyte_Blood | POLR2A | ID:9311
T_Lymphocyte | H3K4me3 | ID:69000
Pfeiffer_B_Lymphocyte_Lymph_Node | H3 | ID:57550
T_Lymphocyte_Blood | H3K4me2 | ID:47950
B_cell_precursor | H3K27ac | ID:66824
T_Lymphocyte_Blood | H3K27ac | ID:38114
GM12878_B_Lymphocyte_Blood | CEBPA | ID:48278
T_Lymphocyte_Blood | H3K4me3 | ID:33876
B_Lymphocyte | ATAC-seq | ID:80912
DND-41_T_Lymphocyte_Blood | H3K4me1 | ID:43767
B_Lymphocyte_Spleen | H3K27me3 | ID:39192
BL-41_B_Lymphocyte_Blood | MYC | ID:5968
T_Lymphocyte_Blood | H3K27ac | ID:44112
T_Lymphocyte | ATAC-seq | ID:59737
B_Lymphocyte_Blood | CDK7 | ID:40055
GM12878_B_Lymphocyte_Blood | TAF1 | ID:46108
Activated_Treg | H3K27ac | ID:57158
THP-1_Macrophage | POLR3D | ID:74907
iPS-15b_Cell_Line | H3K4me1 | Roadmap
MutuI_B_Lymphocyte | BRD4 | ID:82317
Raji_B_Lymphocyte_Blood | POLR2A | ID:47812
Th17_Tonsil | ATAC-seq | ID:61555
P493-6_B_cell_lymphoma | CDK9 | ID:33445
T_Lymphocyte_Blood | ATAC-seq | ID:79487
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPI1 | ID:48641
OCI-Ly7_B_cell_lymphoma_Blood | STAT3 | ID:42215
Th17_Tonsil | H3K27ac | ID:62351
T_Lymphocyte | H3K27ac | ID:8157
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45657
B_Lymphocyte_Tonsil | H3K27ac | ID:51714
DND-41_T_Lymphocyte_Blood | H3K4me2 | ID:45190
Monocyte_Blood | H3K4me3 | ID:85255
T_Lymphocyte | ATAC-seq | ID:59741
Myofibroblast_cell | AR | ID:76204
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | EP300 | ID:35089
SU-DHL10_B_Lymphocyte | STAT3 | ID:42216
B_Lymphocyte_Blood | MED1 | ID:40216
Raji_B_Lymphocyte_Blood | POLR2A | ID:46027
Monocyte | H3K27ac | ID:66413
T_Lymphocyte_Blood | H3K4me2 | ID:47935
CD4_Cell | H3K4me3 | ID:33907
T_Lymphocyte | H3K4me3 | ID:68998
ALL-SIL_T_Lymphocyte_Blood | H3K27ac | ID:55768
MM1.S_B_Lymphocyte_Blood | ATAC-seq | ID:61823
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | NCOR2 | ID:35525
T_Lymphocyte | ATAC-seq | ID:66019
T_Lymphocyte_Blood | H3K4me2 | ID:47913
T_Lymphocyte_Blood | H3K4me2 | ID:47961
Thymus | DNase | ID:58046
Plasmablast | H3K27ac | ID:57011
B_Lymphocyte_Tonsil | BCL6 | ID:58303
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:39058
T_Lymphocyte_Blood | H3K4me2 | ID:47983
P493-6_B_cell_lymphoma | MYC | ID:47550
B_Lymphocyte_Lymph_Node | DNase | ID:5120
MM1.S_B_Lymphocyte_Blood | BRD3 | ID:43052
Monocyte | ATAC-seq | ID:66113
iPS-20b_Cell_Line | H3K4me1 | Roadmap
MM1.S_B_Lymphocyte_Blood | BRD2 | ID:43046
T_Lymphocyte_Blood | H3K4me2 | ID:48019
T_Lymphocyte_Blood | H3K4me2 | ID:47999
T_Lymphocyte_Blood | H3K4me3 | ID:38037
T_Lymphocyte_Blood | H3K4me2 | ID:47988
T_Lymphocyte_Blood | H3K4me2 | ID:47917
B_Lymphocyte_Lymph_Node | H3ac | ID:51683
B_cell_precursor | H3K27ac | ID:66823
Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:37388
B_Lymphocyte_Blood | ATAC-seq | ID:61829
GM12878_B_Lymphocyte_Blood | REST | ID:48267
T_Lymphocyte | ATAC-seq | ID:59754
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BRD4 | ID:43633
T_Lymphocyte_Blood | H3K4me2 | ID:48026
Jurkat_T_Lymphocyte_Blood | PHF6 | ID:44144
OCI-Ly10_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48628
MM1.S_B_Lymphocyte_Blood | POLR2A | ID:39028
T_Lymphocyte | H3K4me3 | ID:69045
Plasmablast | H3K27ac | ID:57014
GM12878_B_Lymphocyte_Blood | EGR1 | ID:46126
GM12878_B_Lymphocyte_Blood | SUZ12 | ID:64381
Monocyte_Blood | H3K4me3 | ID:87565
GM12878_B_Lymphocyte_Blood | SMAD5 | ID:63097
Monocyte_Blood | H3K36me3 | ID:36165
T_Lymphocyte_Blood | H3K4me2 | ID:47974
T_Lymphocyte_Blood | H3K4me2 | ID:47933
P493-6_B_cell_lymphoma | MAX | ID:33175
T_Lymphocyte | ATAC-seq | ID:66003
T_Lymphocyte | H3K4me2 | ID:69078
Ramos_B_Lymphocyte | H3K4me3 | ID:50523
B_Lymphocyte_Lymph_Node | H3ac | ID:51662
B_Lymphocyte_Tonsil | FOXO1 | ID:58301
T_Lymphocyte_Blood | H3K4me2 | ID:47991
T_Lymphocyte_Blood | H3K4me2 | ID:47979
GM12878_B_Lymphocyte_Blood | ETV6 | ID:74648
Raji_B_Lymphocyte_Blood | H3K27ac | ID:70952
T_Lymphocyte_Blood | H3K4me2 | ID:47947
Raji_B_Lymphocyte_Blood | ATAC-seq | ID:59672
T_Lymphocyte_Blood | H3K4me2 | ID:47959
B_Lymphocyte | CD74 | ID:76928
GM12878_B_Lymphocyte_Blood | DRAP1 | ID:74650
T_Lymphocyte_Blood | H3K4me2 | ID:47977
B_Lymphocyte | H3K4me2 | ID:72772
Th2 | H3K4me3 | ID:69885
T_Lymphocyte_Blood | H3K4me2 | ID:47954
MV4-11_Monocyte | MLLT1 | ID:74291
KOPT-K1_T_Lymphocyte_Blood | H3K4me3 | ID:43754
B_Lymphocyte | FOXP1 | ID:59437
T_Lymphocyte_Blood | H3K27ac | ID:42124
T_Lymphocyte_Blood | H3K4me2 | ID:47984
GM12878_B_Lymphocyte_Blood | CHD1 | ID:45646
GM12878_B_Lymphocyte_Blood | POLR2A | ID:2102
Monocyte_Cord_blood | H3K27me3 | ID:74857
GM12878_B_Lymphocyte_Blood | ZBTB33 | ID:48319
B_Lymphocyte_Blood | MED1 | ID:40234
Trophoblast_cell | DNase | ID:63985
T_Lymphocyte_Blood | H3K4me2 | ID:47976
T_Lymphocyte_Blood | H3K4me2 | ID:47934
T_Lymphocyte_Blood | H3K27ac | ID:44041
T_Lymphocyte_Blood | H3K4me2 | ID:47929
Toledo_B_Lymphocyte_Blood | H3 | ID:57551
Monocyte_Blood | H3K27ac | ID:49052
OCI-Ly10_B_Lymphocyte_Bone_Marrow | FOXP1 | ID:59443
T_Lymphocyte_Blood | H3K4me2 | ID:48020
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42284
Patient_derived_xenograft_cells | H3K27ac | ID:61910
Monocyte | ATAC-seq | ID:66114
Th17 | ATAC-seq | ID:80122
T_Lymphocyte | ATAC-seq | ID:59734
T_Lymphocyte | H3K4me2 | ID:69007
MLL-AF9_Blast_Cells_Bone_Marrow | H3K27ac | ID:82460
P493-6_B_cell_lymphoma | H3K4me3 | ID:33182
Monocyte_Blood | RUNX1 | ID:81223
SEM_B_Lymphocyte | AFF1 | ID:73714
T_Lymphocyte_Blood | H3K4me2 | ID:47963
T_Lymphocyte_Blood | H3K4me3 | ID:3834
OCI-Ly7_B_cell_lymphoma_Blood | BCL6 | ID:39572
T.T_T_Lymphocyte_Blood | ATAC-seq | ID:80966
T_Lymphocyte_Blood | H3K4me2 | ID:47987
GM12878_B_Lymphocyte_Blood | REST | ID:47848
Monocyte_Blood | H3K27me3 | ID:74867
GM12878_B_Lymphocyte_Blood | BRD4 | ID:49989
GM12878_B_Lymphocyte_Blood | POLR2A | ID:8094
P493-6_B_cell_lymphoma | MYC | ID:47549
T_Lymphocyte | STAT5A | ID:73723
GM12878_B_Lymphocyte_Blood | REST | ID:48300
MM1.S_B_Lymphocyte_Blood | BRD3 | ID:43053
T_Lymphocyte | H3K4me3 | ID:69010
P493-6_B_cell_lymphoma | CDK9 | ID:33447
KOPT-K1_T_Lymphocyte_Blood | H3K36me3 | ID:43752
GM12878_B_Lymphocyte_Blood | USF2 | ID:45611
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K36me3 | Roadmap
B_Lymphocyte_Spleen | DNase | ID:3124
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPIB | ID:48638
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43126
GM06990_B_Lymphocyte_Blood | H3K36me3 | ID:45201
GM12878_B_Lymphocyte_Blood | REST | ID:48298
T_Lymphocyte_Blood | H3K4me2 | ID:47926
T_Lymphocyte_Blood | H3K27ac | ID:38036
T_Lymphocyte_Blood | H3K4me2 | ID:47972
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BCL6 | ID:35524
GM12878_B_Lymphocyte_Blood | POLR2A | ID:46118
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:61820
LOUCY_T_Lymphocyte_Blood | H3K27ac | ID:62259
Raji_B_Lymphocyte_Blood | H3K4me3 | ID:70959
Jurkat_T_Lymphocyte_Blood | H3K27ac | ID:49283
T_Lymphocyte_Blood | ATAC-seq | ID:80684
Monocyte | ATAC-seq | ID:66116
GM12878_B_Lymphocyte_Blood | REST | ID:48305
T_Lymphocyte_Blood | SRCAP | ID:44131
Th2 | H3 | ID:69886
B_Lymphocyte_Lymph_Node | H3ac | ID:51659
T_Lymphocyte_Blood | H3K4me2 | ID:47928
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49528
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:35522
T_Lymphocyte_Blood | H3K4me2 | ID:47923
Retinal_pigment_cell | E2F4 | ID:49480
Monocyte_Blood | H3K36me3 | ID:45442
T_Lymphocyte | ATAC-seq | ID:66020
B_Lymphocyte_Tonsil | FOXO1 | ID:58300
T_Lymphocyte_Blood | POLR2A | ID:4461
T_Lymphocyte | ATAC-seq | ID:66033
